ID;Smell;Why;Refactoring;Why;Francisco;Jacopo;Agreement
27;unnecessary privileges to microservices;A major problem with this design is that the service provider gives access to all data provided by the set of functions that the service account is permitted to use. It does not consider the authenticated user�s security context;Least privilege principle;This approach is too permissive and is against the principle of least privilege.;X;;0
27;Non-proactive security;;Use attack mitigation techniques;Rate-limiting prevents calling of an API more than the allowed number of times for a given period by a specific consumer.;X;X;1
27;Non-standard Authorization;It is important to have user-level security context and E2E trust across the entire journey, in addition to service level trust among the microservices of an application. ;Use OAuth 2.0;You can use protocols such as OpenID Connect, OAuth 2.0, and SAML to facilitate AuthN and AuthZ, and aid in designing a system that handles security at the right place and the right time and guarantees end-to-end trust across the entire journey.;X;X;1
27;Non-standard authentication;It is important to have user-level security context and E2E trust across the entire journey, in addition to service level trust among the microservices of an application. ;Use OpenID Connect;You can use protocols such as OpenID Connect, OAuth 2.0, and SAML to facilitate AuthN and AuthZ, and aid in designing a system that handles security at the right place and the right time and guarantees end-to-end trust across the entire journey.;X;X;1
28;Non-standard authentication;Microservices don�t lend themselves to the traditional mode of identity control.;Use OpenID Connect;By using OAuth with OpenID Connect, and by creating a standards based architecture that universally accepts JWTs, the end result is a distributed identity mechanism that is self contained and easily to replicate. Constructing a library that understands JWT is a very simple task. In this environment, access as well as user data is secured. Creating microservices that communicate well and securely access user information can greatly increase agility of the whole system, as well as increase the quality of the end user experience.;X;X;1
28;Non-standard Authorization;Microservices don�t lend themselves to the traditional mode of identity control.;Use OAuth 2.0;By using OAuth with OpenID Connect, and by creating a standards based architecture that universally accepts JWTs, the end result is a distributed identity mechanism that is self contained and easily to replicate. Constructing a library that understands JWT is a very simple task. In this environment, access as well as user data is secured. Creating microservices that communicate well and securely access user information can greatly increase agility of the whole system, as well as increase the quality of the end user experience.;X;X;1
29;Non-proactive security;;Use attack mitigation techniques;"To ensure API security, a WAF solution is needed for inspecting the incoming and outgoing HTTP/HTTPS as with any other web application and provide capabilities such as profiling, blocking attacks, bot and DDoS protection, preventing account takeover and more.our WAF should also help secure applications and data in the new application environment, with automatic deployment anytime new services or containers are provisioned.";X;X;1
29;Non-scalable security controls;;DevSecOps;The operational aspects of managing your WAF solution should be automated and templatized, such that your security can be easily scaled out. So, regardless of whether you spin up a new server, deploy a new application, or move an existing service from one server to another, the security policies and provisioning layer linked to that service are automatically deployed.;X;X;1
29;Non-secure communication;;Use transport Layer Security (TLS);Your organization should continue to focus on: Ensuring confidentiality by encrypting communications and data at rest.;X;X;1
29;Non-encrypting sensitive data;Data security becomes even more critical as the applications and infrastructure become more distributed, with complex interdependencies that potentially span services, APIs, containers and clouds.;Use a data-centric audit and protection (DCAP);"A DCAP solution helps you protect data in databases, file stores, and big data repositories with real-time monitoring, auditing, and security and rights management.ith a DCAP solution, you can:nalyze all database activity in real time. You can monitor all users who access the database, whether through a browser, a mobile app or a desktop application.ake action to avoid compromise and data loss, such as blocking access to sensitive data based on security policies.";X;X;1
30;No layered security;With the third-party APIs used by your application, you may not even be aware of all the risks because you may not know all the parameters and supported endpoints (documentation is never perfect!) or because something has changed during the last version update.;Use defense-in-depth;API's should be monitored for security issues at their respective ingress points. The right API security solution should be able to understand east-west microservices� protocols� syntaxes and, thus, to detect injections such as the Open Web Application Security Project (OWASP) Top-10 A1 class injection risks.;X;X;1
30;Unauthenticated API requests;;Use Authentication;During the design time, the most important issue is the correct implementation of API authentication and credential management. Lack of robust authentication practices can have scary consequences.;;X;0
31;Non-scalable security controls;;Continuous Security Testing;Automating security testing in CI/CD leverages existing testing developers are already doing. Automated testing can create and update baselines before every release with OWASP Top 10 and advanced libraries that are informed by discovered abnormalities across clients. Through automation, developers can meet their responsibility to facilitate fast releases and quicker code fixes. It releases teams from the impracticality of safer, more homogenous coding or heavy training.;X;X;1
31;Unauthenticated API requests;;Use Authentication;Access is another critical factor to microservices security. Secure access to microservices with the API access control. This is absolutely fundamental to truly securing applications that consist of microservices software. There are multiple, independent API services that require additional tools to manage API access control. Be thorough with each tool you use;X;X;1
31;No layered security;Protecting your microservices will never come down to a singular solution or practice. You need to think like a security expert. Think: defense in depth. ;Use defense-in-depth;"The defense in depth approach creates a multi-layer security to prevent attacks.efense in depth includes security measures such as:iltering communication flowsuthentication authorizationccess controls for microservices andsing the encryption technologies specific to a group.";X;X;1
31;Non-scalable security controls;You need to Integrate automated security testing into your build or continuous integration process (CI/CD).;DevSecOps;Automation is the key to integrating quality protection in a way that ensures quick feedback on the impact of new changes. Continuous security testing for continuous software development helps realize the speed and the flexibility and ensures the faster recovery.;X;X;1
32;Decentralized authentication;;Use API Gateway;Services require authentication and authorization. In a microservices world you typically have a front-end gateway that manages connections from the outside world which then connect you to back-end microservices to handle the request. ;X;X;1
32;Centralized authorization;"Approach 1: Global Authentication and Authorizationf your back-end (micro) services are to have total faith that the front-end (global) services have authenticated and authorized the transaction, then you can go for option 1. The problem with this is that when you push authorization into the global context, you are moving conceptual business logic from your back-end microservices to the front-end � and that is often the wrong move to make.";Decentralize authorization;This approach is likely the best fit for most people. Keep the clunky authentication layer at your front-end global services layer. Then, when the front-end calls the back-end microservices to do an actual job, it can provide a security context. This allows the microservices to not care how someone is authenticated, but is still able to maintain the business logic decision making of what actions this security context is allowed to perform.;X;;0
32;Decentralized authentication;"Approach 4: Service Authentication and Authorizationou can do it, but it is really a bad violation of good layered architectures to not do the authentication globally. If you have a small set of services, this is probably not big problem � but once you grow past a certain size you really want your services to deal with only what they need to deal with.";Use API Gateway;;X;;0
32;Non-secure communication;If any service within your microservices mesh is able to call you and provide a faked security context� That is just a recipe for disaster.;Transport Layer Security (TLS) mutual authentication;You need to have strong authentication and authorization between your services (by using something like Istio and its mTLS). You must be certain that when you get a request to do something in your microservice with a given security context that the security context can be trusted.;X;X;1
33;Non-proactive security;Ensuring that your applications are secure is no easy feat, and managing a number of services that have multiple entry points from the outside can be difficult. As the number of services grow, the magnitude of this issue is amplified. ;Use attack mitigation techniques;Setting up a firewall application or an alternative solution in front of your system can correct a problem like this by ensuring that only the appropriate traffic arrives at your application�s front door and that it does not contain malicious codes or threats.;X;X;1
33;Non-secure communication;;Use transport Layer Security (TLS);Traffic between your microservices should be encrypted on the cloud. This means that, in addition to your microservices handling encrypted traffic, they will also need to ensure that the performance of your underlying applications does not suffer as a result of the extra work they have to perform with encrypting and decrypting information.;X;X;1
33;Hardcoded secrets;Embedding secrets into your applications is a very bad idea. Best practices for modern architecture strongly advise against storing any credentials on your servers. Of course, this brings up the question of how you will allow applications to authenticate with each other and third-party services if the credentials cannot be stored locally?;Use third-party authentication;One strategy is to use third-party tools or the tools and services that are already available from most cloud providers. The concept is pretty simple. When you initiate an authentication request, you ask another service to request a temporary set of credentials on your behalf, which allows you access for a set period of time. This solves the issue of longevity of credentials because they expire after a certain period of time, and because there are no credentials that are embedded in the microservice itself.;X;X;1
33;Non-scalable security controls;When you are dealing with microservices, there can be several changes each day. When you upgrade your application by changing or adding functionality, you will need to ensure that your code is (at minimum) the same as it was before, if not even better.;Continuous Security Testing;This requires scanning the added code for vulnerabilities and weaknesses before the code is even deployed. You will need to tie this into your continuous integration processes so that this is performed as part of your release process.;X;X;1
34;Non-proactive security;;Use attack mitigation techniques;"We also recommend enabling a feedback loop to provide alerts from the middle tier and backend service to your WAF. This will help the WAF know when to block these attacks. WAF should also monitor the volume of cache misses. If an API gateway is constantly performing middle tier service calls due to cache misses, that suggests that the cache is not configured correctly or potential malicious behavior.";X;X;1
34;Decentralized authentication;;Use API Gateway;"It may be possible for your middle tier and backend services to limit the batch or object size requested. This can also be done in the client code, and potentially even enforced in the API gateway.PI gateways and other microservices should prioritize authenticated traffic over unauthenticated traffic.";X;X;1
34;Non-proactive security;;Use attack mitigation techniques;Ensure you have reasonable client library timeouts and circuit breakers.;X;X;1
34;Not knowing your system;Application layer attacks focus on expensive API calls, using their complex interconnected relationships to cause the system to attack itself � sometimes with a massive effect. In a modern microservice architecture this can be particularly harmful.;Identify critical services;First and foremost it is critical to know your system. You should understand which microservices impact each aspect of the customer experience. Look for ways to reduce inter-dependencies on those services. If one service becomes unstable the rest of your microservices should continue to operate, perhaps in a degraded state.;X;X;1
35;Trust the Network;"A network, private or public, is never secure, period.etwork perimeter security is no longer the advised best practice.";Zero Trust Network;"Zero Trust = Authentication + Authorization + Encryption.n Zero trust the attention is turned towards directly protecting partitioned resources against explicitly untrusted clients. In other words, a Zero Trust system does not differentiate on where you are, but only cares about who you are.aving a reliable way to prescribe role based access controls severely limits the damage a malicious or negligent client can do. ";X;X;1
35;Non-secure communication;Assuming resources are protected, network traffic still is not. There cannot be an assumption of trusted communication between any parties, regardless of where it originated.;Use transport Layer Security (TLS);Be it user to service, service to user, service to service, or user to user, all communication, machine or human, must be encrypted and protected from end to end.;X;X;1
35;Not knowing your system;;Identify critical services;All critical data stores, applications, assets, and services must be catalogued. This can range from SaaS providers, to web-connected devices, customer information stores, identity providers, or any other resource that contributes to infrastructure or operations.;;X;0
36;Hardcoded secrets;Don't put secrets in native apps!;Encrypt secrets at rest;"An example of this is Proof-Key for code exchange (PKCE), PKCE replace the need for clients secrets.ashed secrets.";X;X;1
36;Trusting your own components;;Zero Trust Network;Treat components of your application the same way you'd treat third-party applications.;X;X;1
36;Non-standard Authorization;How can I let an app access my data without giving it my password?;Use OAuth 2.0;OAuth acts as a buffer between giving your password to an App and then giving it just the data that it wants.;X;X;1
37;Decentralized authentication;;Use API Gateway;Even with IP whitelisting in place, having an API gateway in place is still best practice. This aids in authentication and ensures the backend is only receiving properly formed API calls. ;X;X;1
37;Non-standard Authorization;;Use OAuth 2.0;The most common is OAuth and OAuth2 for communicating and securing communications between APIs. Underneath is token-based and claims-based authentication where the APIs are passing digitally signed tokens back and forth to verify the token is representative of who is making the call. ;X;X;1
37;Unauthorized API requests;authentication alone is not enough to grant access to an API, there should be an authorization step to determine what resources have access to the API.;Use authorization;There various ways to check for proper authorization include content-based access control (CBAC), role-based access control (RBAC) or policy-based access control (PBAC) � these methods ensure business data remains fully protected against unapproved access. ;X;X;1
37;Non-proactive security;;Use attack mitigation techniques;"Use rate-limiting API calls to mitigate distributed denial-of-service (DDoS) attacks and protecting the backend applications that process the API calls.ecuring the APIs themselves by applying a rate-limiting policy that sets a threshold on the number of requests the API gateway accepts each second (or other time period) from a specified source, such as a client IP address.";X;X;1
37;Non-encrypting sensitive data;;Encrypt data at rest;" Encryption in transit is great, but not enough. It should be enforced all the way, including while the data is at rest. nforce Encryption all the way";X;X;1
37;Not monitoring services;;Monitor everything that is possible;alert and monitoring are key to see what is going on in your world to protect against bad behaviors. Logging and auditing should be used proactively in detecting and alerting you against threats and attack.;X;;0
37;Non-secure communication;Protecting the backend applications using HTTPS � HTTPS protocol should be used traffic between API gateway and the backend systems that process the API requests. ;Transport Layer Security (TLS) mutual authentication;"When it comes to securing APIs, serving them via HTTPS is a basic yet absolute requirement. It�s relatively straightforward to setup: the tools and processes involved are widely available and well understood.ake sure traffic is secure and encrypted. Make sure the client and server are both SSL.";X;X;1
38;Decentralized security policy management;;Use API Gateway;API Gateways are a natural integration points because they sit at the place where there is a clear contract between the consuming entity, the client and the API which means in turn we can make sense of that information and derive meaningful authorizations.;X;X;1
38;Non-standard Authorization;When we talk about microservices, we talk about dynamic authorization;Use OAuth 2.0;"Use OAuth 2.0 to manage Authorization.Auth is use manage delegated authorization.Auth is use to solve the password antipattern.";X;X;1
38;Non-standard authentication;;Use OpenID Connect;"Use OIDC to manage Authentication.IDC added an identity layer to OAuth 2.0 to more easily facilitates single sign-on across domains.IDC introduced different kinds of token formats like JWT.";X;X;1
39;Centralized authorization;In MSA, we can replace the identity server with a microservice, which, in my opinion, leads to a big complicated dependency graph.;Use a token-based approach;The client talks to an identity or SSO server, authenticates itself, receives a signed token that describes the user and his roles with SAML or OpenIDConnect, and sends the token to microservices with each request. Each microservice verifies the token and authorizes the calls based on the user roles described in the token. This model pushes the authentication to the client and does access control at microservices while simplifying dependencies.;X;X;1
40;Non-secure communication;;Use transport Layer Security (TLS);Developers should strive to use isolation and API security measures�such as transport layer security (TLS) encryption and strong API keys�to create secure communication and authentication among services.;X;X;1
40;Non-proactive security;"The technology stack and the resulting dependencies are vastly multiplied in a microservice environment compared to a monolithic environment.""";Keep third-party components up to date;"The most popular platforms for cloud-based services are based on open-source components and third-party libraries. Developers who use these stacks need to assiduously update and maintain each microservice.verall, it's a lot more fragile when you consider the possibility of exploits or flaws creeping in as a part of the stack or the third-party components that you are using.";X;X;1
40;Own crypto code;Developers should not try to create the fundamental security building blocks.;Use already validated solutions;;X;X;1
40;Non-scalable security controls;Developers cannot afford to have any manual processes for checking and validating security, because changes are deployed so frequently.;Continuous Security Testing;"Security also has to move as quickly as the agile development process, which means that it is absolutely critical that security processes are integrated into the CI/CD pipeline.ou should add automated scanners to your process to check, as often as possible, if there are any regressions or unexpected behaviors. ou need a global view to understand the architecture of the applications, and what vulnerabilities need to be fixed.";X;X;1
42;Decentralized Authentication;;Use API Gateway;"API gateways are the most commonly used solution, and with good reason � they provide many great out-of-the box management services in addition to security.ne single point of entry with API gateways and security platforms.ou need a robust, centralized authentication and authorization policies for access.";X;X;1
43;Non-standard Authorization;Microservices should only be invoked after requesting authentication and, ideally, authorization if levels of privileges are available.;Use OAuth 2.0;"OAuth (currently in version 2.0) and OpenID Connect are frameworks that lend themselves to typical implementation of microservices that use RESTful APIs.n essence, an access token is issued by an authorization server to a trusted client application.penID Connect is built on the top of OAuth 2.0 and uses JSON Web Tokens as an identity token.";X;X;1
43;Centralized authorization;Verifying the access token at the gateway level makes it vulnerable to the confused deputy problem. This comes from microservices trusting the gateway based on its mere identity (sometimes even an IP address), which makes it open to misuse if compromised.;Use a token-based approach;"Having access control enabled and scopes of the access token checked by microservices prior to responding to a request is a possible mitigation.ote that having a dedicated service acting as an authorization server provides three main benefits: decoupling and isolation in case the system is compromised, separation of concerns, and an auditing point.";X;X;1
43;Decentralized Authentication;Microservices require a central service (the conductor) to send requests and organize the workflow. ;Use API Gateway;"A common model for microservices uses API gateways. Being a dedicated element that does not directly participate in the application itself, it can also act as an intrusion detection system (IDS).rchestration is normally executed at the gateway level, which is a single entry point to the system, making it ideal for storing logs and auditing tasks.";X;X;1
43;Non-scalable security controls;;Continuous Security Testing;"Automated testing and verification become crucial as typically these applications are developed using agile methodologies and rely on fast iteration cycles.he deployment of the application should be along with security tests and verification tools, which should be continuous and periodic and include vulnerability management.";X;X;1
43;Non-proactive security;;Use attack mitigation techniques;Any request from the outside world must pass through a firewall and IDS, and container firewalls should inspect requests from the gateway or any potential internal traffic.;X;X;1
44;Non-secure communication;Classic attacks on the network stack and protocols attacks against protocols specific to the service integration style (SOAP, RESTful Web Services). Attacks include eavesdropping (sniffing), identity spoofing, session hijacking, Denial of Service (DoS), and Man-in-the-Middle (MITM) also attacks on TLS: Heartbleed and POODLE.;Use transport Layer Security (TLS);Use of standard and verified security protocols such as TLS or JSON security standards.;X;X;1
44;Non-secure communication;;Transport Layer Security (TLS) mutual authentication;"Although there are currently few industry practices for microservice security, some interesting trends present themselves. The first one is the use of Mutual Transport Layer Security (MTLS) with a self-hosted Public Key Infrastructure (PKI) as a method to protect all internal service-to-service communication.LS with mutual authentication addresses problems of service authentication and traffic encryption.";X;X;1
44;No layered security;Until recently perimeter defense was the most common approach to security of microservice-based systems. From the modern security perspective, perimeter security is in general considered insufficient.;Use defense-in-depth;We should rather assume that the other services in the system may be compromised and hostile (�trust no one�). The rise of microservices, as well as advances in security automation, facilitate placement of additional security mechanisms inside the perimeter. In other words, defense in depth as a concept of placing multiple and sometimes overlapping security mechanisms on different levels throughout the system becomes more feasible with microservices.;X;X;1
44;Trusting your own components;We assume an adversary can compromise at least one service inside the perimeter and wants to move laterally through the system to gain full control. If internal services blindly trust whoever is calling them, then a single compromised microservice will allow an attacker to manipulate all the other nodes in the microservice network, for example, by issuing arbitrary malicious requests that the nodes will fulfill. The latter is sometimes referred to as a confused deputy problem. The adversary can attempt to eavesdrop on the inter-service communication, insert and modify data in transit.;Zero Trust Network;;X;X;1
44;Centralized authorization;Microservices should be aware of the user authentication state, i.e. whether the user was authenticated, and what the user�s role is in authorization context. The user needs to be identified multiple times in each service down the operation chain, as each service calls other services on the user's behalf.;Use a token-based approach;Token-based authentication is a well known commonplace security mechanism that relies on cryptographic objects called security tokens containing authentication or authorization information. A security token is created on the server-side upon the successful validation of the client's credentials and given to the client for subsequent use. Security tokens substitute the client�s credentials within a limited time-frame.;X;X;1
45;Trusting your own components;Trustworthiness is also an issue when dealing with microservices. For example, an adversary could compromise or gain control of a component, which isn�t uncommon within the public cloud context. However, in a typical microservice architecture, the other components assume a trusted component base thus, there�s a real risk that attacks can be easily propagated due to the microservices� dependencies and (blind) trust of peer components.;Zero Trust Network;;X;X;1
45;Non-secure communication;In the absence of a centralized orchestrator, for example, microservices coordinate among themselves through message-based communications. These communications, if not protected, won�t let us achieve secure guarantees during data exchange and/or receive falsified or modified coordination which is required when undertaking complex and elaborate functionalities.;Use transport Layer Security (TLS);;X;X;1
46;Non-scalable security controls;Any vulnerability should be identified early in the development lifecycle and should have shorter feedback cycles.;Continuous Security Testing;A proper secure development lifecycle and test automation strategy needs to be there to make sure that we do not introduce security vulnerabilities at the code level. We need to have a proper plan for static code analysis and dynamic testing � and most importantly those tests should be part of the continuous delivery (CD) process.;X;X;1
46;Non-secure communication;Securing service-to-service communication is the most critical part of securing microservices.;Use JSON Web Tokens (JWT);"JWT (JSON Web Token) defines a container to transport data between interested parties. JWT can be used to transfer data securely between interested parties over an unsecured channel. A JWT can be used to transfer signed and/or encrypted messages. JWT can be signed or encrypted or both. A signed JWT is known as a JWS (JSON Web Signature) and an encrypted JWT is known as a JWE (JSON Web Encryption).";X;X;1
46;Non-secure communication;Securing service-to-service communication is the most critical part of securing microservices.;Transport Layer Security (TLS) mutual authentication;"Mutual authentication authenticates both parties�the client and the server. In a microservices environment, TLS mutual authentication can be used between microservices to authenticate each other.ith TLS mutual authentication, the end-user identity has to be passed at the application level�probably as an HTTP header.";X;X;1
46;Decentralized Authentication;;Use API Gateway;With the API gateway pattern the microservices, which need to be exposed outside, would have a corresponding API in the API gateway. Not all the microservices need to be exposed from the API gateway. The end user�s access to the microservices (via an API) should be validated at the edge � or at the API gateway.;X;X;1
46;Non-standard Authorization;;Use OAuth 2.0;"The most common way of securing APIs is OAuth 2.0. Over time, OAuth 2.0 has become the de-facto standard for API security.hoever wants to access a microservice via the API gateway must get a valid OAuth token first.";X;X;1
46;Centralized authorization;An authorization check evaluates whether a given user has the minimum set of required permissions to access a given resource. The resource can define who can perform and which actions they can perform.;Use token-based approach;XACML is the de-facto standard for fine-grained access control. It introduces a way to represent the required set of permissions to access a resource, in a very fine-grained manner in an XML-based domain-specific language (DSL).;;X;0
47;Non-secure communication;HTTP transfers data in plain text, but data transfer over the internet in plain text is not a good idea at all. It makes hacker's jobs easy and allows them to get your private information, such as your user ID, passwords, and credit card details easily using a packet sniffer.;Use transport Layer Security (TLS);We definitely don't want to compromise user data, so we will provide the most secure way to access our web application. Therefore, we need to encrypt the information that is exchanged between the end-user and our application. We'll use Secure Socket Layer (SSL) or Transport Security Layer (TSL) to encrypt the data.;X;X;1
47;Non-standard Authorization;Providing authentication and authorization is de facto for web applications.;Use OAuth 2.0;OAuth is an open authorization mechanism, implemented in every major web application. Web applications can access each other's data by implementing the OAuth standard.;X;X;1
48;Non-proactive security;;Use attack mitigation techniques;"A web application firewall (WAF) is configured as your second or third line of defense in a system. To understand what a WAF is, let's look at the definition from the Open Web Application Security Project (OWASP):"A web application firewall (WAF) is an application firewall for HTTP applications. It applies a set of rules to an HTTP conversation. These rules cover common attacks such as cross-site scripting (XSS) and SQL injection.";X;X;1
48;Non-secure communication;;Use transport Layer Security (TLS);TLS or Transport Layer Security no longer adds any overhead due to the advances in processing power available to servers these days. In addition to this, services inside a firewall generally have a limited number of connections so, to improve the time that is lost by the TLS handshake, you can use persistent reusable connections in your service to minimize this problem.;X;X;1
48;Non-encrypting sensitive data;Assuming our system had been attached to a database for storing things such as user accounts, the attacker would have been able to get access to the complete database of passwords. One of the things that we should think about when are storing data in a database is the encryption of our data.;Encrypt data at rest;One of the many benefits microservices give us is that we separate functions and data between our systems. This can make deciding what data to encrypt easier as rather than attempting to understand which data to encrypt within a datastore, you make a simpler decision: is there any data that needs to be encrypted inside this datastore? If so, then simply encrypt all of it.;X;X;1
48;unnecessary privileges to microservices;;Least privilege principle;There is a security principle called the least privilege this recommends that accounts and services have the least amount of privilege to perform their business function. Even if you have ensured that the machine-to-machine communication is secured and there are appropriate safeguards with your firewall, there is always an opportunity for an attacker to access your systems by the back door.;X;X;1
48;Centralized authorization;;Use JSON Web Tokens (JWT);"A JSON Web Token (JWT) is a standard for safely passing claims or data attributed to a user within an environment. It is an incredibly popular standard and is available for just about every major language and framework.here are two main strengths of JWT. One is a standard format for the claims, which makes the availability of reliable frameworks possible. The other is the use of asymmetric encryption, which means that because a token is signed, the receiver only needs the public key of the signer to validate that the token has indeed come from a trusted source and this allows us to lock down access to the private keys to an authorization server.";X;X;1
48;Non-proactive security;;Keep third-party components up to date;One important element of keeping your system secure is making sure you keep it up to date with all the latest security patches. This approach needs to be applied to your application code and your server's operating system and applications, and if you are using Docker, you also need to ensure that your containers are up to date to ensure you are free from vulnerabilities.;X;X;1
48;Decentralized Authentication;;Use API Gateway;"In addition to a WAF, an API Gateway can be a useful tool to have this can serve a dual purpose of routing your public APIs to their backend services and some additional features such as token validation at the edge and input validation and transformation.PI Gateways often implement many other first-line features such as but not limited to the following:equest validationuthorizationate limitingoggingachingequest and response transformations";X;X;1
49;Non-standard Authorization;In a microservice-based architecture, the individual microservices should not perform authentication. It does not make much sense for each microservice to validate the user name and password. For authentication a central server has to be used. For authorization an interplay is necessary: often there are user groups or roles that have to be centrally administered.;Use OAuth 2.0;"One possible solution for this is OAuth2.here are numerous libraries for practically all established programming languages that implement OAuth2 or an OAuth2 server.etween the microservices, only the access token still has to be transferred. This can occur in a standardized manner via an HTTP header when REST is used. In the case of different communication protocols, similar mechanisms can be exploited. Also in this area, OAuth2 hardly limits the technology choice.";X;X;1
49;Non-secure communication;;Transport Layer Security (TLS) mutual authentication;The communication between the microservices can be protected by SSL/TLS against wiretapping. All communication is then encrypted. Infrastructures like REST or messaging systems mostly support such protocols.;X;X;1
49;No layered security;;Use defense-in-depth;Firewalls can be used to protect communication between microservices. Normally firewalls secure a system against unauthorized access from outside. A firewall for the communication between the microservices prevents that all microservices are endangered if an individual microservice has been successfully taken over. In this way, the intrusion can be restricted to one microservice.;X;X;1
50;Trust the Network;"Our first option could be to just assume that any calls to a service made from inside our perimeter are implicitly trusted. epending on the sensitivity of the data, this might be fine. Some organizations attempt to ensure security at the perimeter of their networks, and therefore assume they don�t need to do anything else when two services are talking together.owever, should an attacker penetrate your network, you will have little protection against a typical man-in-the-middle attack.";Zero Trust Network;;X;X;1
50;Centralized authorization;There is a type of vulnerability called the confused deputy problem, which in the context of service-to-service communication refers to a situation where a malicious party can trick a deputy service into making calls to a downstream service on his behalf that he shouldn�t be able to.;Use a token-based approach;;X;X;1
50;Non-encrypting sensitive data;Many of the high-profile security breaches involve data at rest being acquired by an attacker, and that data being readable by the attacker. This is either because the data was stored in an unencrypted form, or because the mechanism used to protect the data had a fundamental flaw.;Encrypt data at rest;"For encryption at rest, unless you have a very good reason for picking something else, pick a well-known implementation of AES-128 or AES-256 for your platform.ncrypt data when you first see it. Only decrypt on demand, and ensure that data is never stored anywhere.";X;X;1
50;Own crypto code;"The easiest way you can mess up data encryption is to try to implement your own encryption algorithms, or even try to implement someone else�s.adly implemented encryption could be worse than having none, as the false sense of security (pardon the pun) can lead you to take your eye off the ball.f there is nothing else you take away from this chapter, let it be this: don�t write your own crypto. Don�t invent your own security protocols.";Use already validated solutions;"Whatever programming language you use, you�ll have access to reviewed, regularly patched implementations of well-regarded encryption algorithms. Use those! And subscribe to the mailing lists/advisory lists for the technology you choose to make sure you are aware of vulnerabilities as they are found so you can keep them patched and up to date.hey are good enough! Reinventing the wheel in many cases is often just a waste of time, but when it comes to security it can be outright dangerous.";X;X;1
50;No layered security;;Use defense-in-depth;As I've mentioned earlier, I dislike putting all your eggs in one basket. It�s all about defense in depth.;X;X;1
51;Publicly accessible microservices;"""Before you had to secure one door, now you have 20.�";Use firewall for the API gateway;To tackle this challenge, it would be beneficial to follow existing reference implementations or use the API gateway pattern.;X;X;1
52;Non-standard Authorization;"In a monolithic web application, authentication happens with a login form, and once the user is identified, a cookie is set and used for all subsequent requests.n a microservice-based architecture, we can't use that scheme everywhere because services are not users and won't use web forms to authenticate. We need a way to allow or reject a call between each service automatically.";Use OAuth 2.0;"The OAuth2 authorization protocol gives us the flexibility to add authentication and authorization in our microservices, that can be used to authenticate both users and services.he core idea of OAuth2 is that a centralized service is in charge of authenticating a caller, and can grant some access in the form of codes or tokens let's call them keys. Those keys can be used by users or services to access a resource, as long as the service providing that resource accepts that key.";X;X;1
52;Centralized authorization;When a service wants to get access to another service it has to be without any user intervention.;Use a token-based approach;"A token is usually built as a self-contained proof that you can use a service. Self-contained means that the service will be able to validate the token without having to call an external resource, which is an excellent way to avoid adding dependencies between services. Depending on the implementation, a token can also be used to access different microservices.Auth2 uses the JWT standard for its tokens.";X;X;1
52;Centralized authorization;;Use JSON Web Tokens (JWT);OAuth2 uses the JWT standard for its tokens.;X;;0
52;Non-proactive security;"When you're exposing HTTP endpoints to others, you are expecting callers to behave as intended. Each HTTP conversation is supposed to follow a scenario that you have programmed in the service.n the real world, that's not always the case. If the caller has a bug or is just not calling your service correctly, the expected behavior should be to send back a 4xx response and explain to the client why the request was rejected. That's also the case for malicious requests sent by attackers. Any unintended behavior should be dismissed.";Use attack mitigation techniques;"Web Application Firewalls (WAF) that can be used to avoid a lot of attacks.dding protection on the server-side to back-off such zealous clients is usually not hard to do and goes a long way to protect your microservice stack.";X;X;1
52;Non-proactive security;;Use attack mitigation techniques;Rate limiting consists of counting how many requests a server is accepting in a period of time and rejecting new ones when a limit is reached.;X;X;1
53;No layered security;"Are you just protecting your system at the Internet boundary?hat protections do you have in place if an intruder gets inside your core network?f you assume that your gateway services have been fully breached, what would you do differently elsewhere?f your gateway services were fully breached, what data could be gleaned from memory?f your gateway services were fully breached, what data could be captured from the network traffic?re you constantly asking yourselves: �What if this control fails? What�s the next control?";Use defense-in-depth;;X;X;1
53;Non-secure communication;"How easily could someone inside your network get access to the traffic between your services?ave you upgraded your TLS implementations to the latest versions possible?ave you configured TLS to eliminate downgrade and weak cipher attacks?ho on your staff knows everything about TLS and how to configure it safely?";Use transport Layer Security (TLS);;X;X;1
53;Trusting your own components;"Do your services trust each other too much? Or� Do your services trust whoever is calling them too much? (Are you sure only your services can call into your services?)oes the rest of your system trust your gateway services too much?oes your web app design treat the browser as an insecure environment?oes your native mobile app design treat the device as an insecure environment?";Zero Trust Network;;X;X;1
53;Non-standard Authorization;"Can your services request any data from each other, or only the data of a user that has given their authority?f an attacker owned a service, could they pretty easily request anything from its downstream services?o your services let their callers access all the APIs that a service offers, or just the ones it needs to fulfil its function?";Use OAuth 2.0;;X;X;1
53;Non-standard authentication;"I have a list of cracked passwords and user emails. Could I use your password reminder URL to test which users are in your system?o you lock an account after some number of failed login attempts? ";Use Authentication;;X;X;1
